image_id,Original_question,q_type,Mod_qns_Gemini,image_url,Modified_question,Mod_qns_textinput,GT_answer
COCO_train2014_000000228794,Is this a park?,Is this,Is this a botanical park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228794.jpg,Is this a <span style='color:red'>botanical</span> park?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> park?,yes
COCO_train2014_000000230673,Is the man balding?,Is the,Is the man eating balding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000230673.jpg,Is the man <span style='color:red'>eating</span> balding?,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> balding?,yes
COCO_train2014_000000420236,Is there ice cream in the truck?,Is there,Is there ice cream in the white truck?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420236.jpg,Is there ice cream in the <span style='color:red'>white</span> truck?,Is there ice cream in the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> truck?,no
COCO_train2014_000000231148,Is there traffic?,Is there,Is there any significant traffic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231148.jpg,Is there <span style='color:red'>any significant</span> traffic?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> traffic?,no
COCO_train2014_000000569747,Are the signs English?,Are,Are the red signs English?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000569747.jpg,Are the <span style='color:red'>red</span> signs English?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> signs English?,no
COCO_train2014_000000260276,Does the child have a hair accessory?,Does,Does the child on the horse have a hair accessory?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000260276.jpg,Does the child <span style='color:red'>on the horse</span> have a hair accessory?,Does the child <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have a hair accessory?,yes
COCO_train2014_000000357728,Are there just a few people?,Are,Are there just a few smiling people?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000357728.jpg,Are there just a few <span style='color:red'>smiling</span> people?,Are there just a few <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> people?,no
COCO_train2014_000000224503,Does the woman look confused?,Does,Does the woman on the right look confused?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000224503.jpg,Does the woman <span style='color:red'>on the right</span> look confused?,Does the woman <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> look confused?,no
COCO_train2014_000000124240,Are the curtains checkered?,Are,Are the sheer curtains checkered?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000124240.jpg,Are the <span style='color:red'>sheer</span> curtains checkered?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> curtains checkered?,no
COCO_train2014_000000099999,Is this a smartphone?,Is this,Is this silver smartphone?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000099999.jpg,Is this <span style='color:red'>silver</span> smartphone?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> smartphone?,no
COCO_train2014_000000263623,Are there chips?,Are,Are there potato chips?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000263623.jpg,Are there <span style='color:red'>potato</span> chips?,Are there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> chips?,yes
COCO_train2014_000000418373,Does this sign make sense?,Does,Does this yellow sign make sense?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000418373.jpg,Does this <span style='color:red'>yellow</span> sign make sense?,Does this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sign make sense?,yes
COCO_train2014_000000556524,Are these army planes?,Are,Are these red army planes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000556524.jpg,Are these <span style='color:red'>red</span> army planes?,Are these <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> army planes?,no
COCO_train2014_000000577087,Is there any chocolate in the food?,Is there,Is there any chocolate spread in the food?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000577087.jpg,Is there any chocolate <span style='color:red'>spread</span> in the food?,Is there any chocolate <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in the food?,no
COCO_train2014_000000050410,Is the man wearing a shirt?,Is the,Is the shirtless man wearing a shirt?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000050410.jpg,Is the <span style='color:red'>shirtless</span> man wearing a shirt?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> man wearing a shirt?,no
COCO_train2014_000000298287,Is this photo askew?,Is this,Is this photo with dark umbrella askew?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000298287.jpg,Is <span style='color:red'>the dark umbrella</span> askew?,Is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> askew?,yes
COCO_train2014_000000170662,Does this transport passengers?,Does,Does this red train transport passengers?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000170662.jpg,Does this <span style='color:red'>red train</span> transport passengers?,Does this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> transport passengers?,yes
COCO_train2014_000000307054,Is this a poodle?,Is this,Is this dog carrying a frisbee a poodle?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000307054.jpg,Is this <span style='color:red'>dog carrying</span> a frisbee?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> a frisbee?,no
COCO_train2014_000000272033,Is there a cart in this picture?,Is there,Is there a red cart in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000272033.jpg,Is there a <span style='color:red'>red</span> cart in this picture?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> cart in this picture?,no
COCO_train2014_000000232779,Is this lady married?,Is this,Is this lady with a ring married?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000232779.jpg,Is this lady <span style='color:red'>with a ring</span> married?,Is this lady <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> married?,yes
COCO_train2014_000000552453,Does this house have stairs?,Does,Does this wooden house have stairs?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000552453.jpg,Does this <span style='color:red'>wooden</span> house have stairs?,Does this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> house have stairs?,yes
COCO_train2014_000000088860,Is there enough snow for skiing?,Is there,Is there enough snow for downhill skiing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000088860.jpg,Is there enough snow for <span style='color:red'>downhill</span> skiing?,Is there enough snow for <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> skiing?,yes
COCO_train2014_000000535019,Is there smoke in the picture?,Is there,Is there white smoke in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000535019.jpg,Is there <span style='color:red'>white</span> smoke in the picture?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> smoke in the picture?,no
COCO_train2014_000000152529,Is this a saloon or restaurant?,Is this,Is this a wooden saloon or restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000152529.jpg,Is this a <span style='color:red'>wooden</span> saloon or restaurant?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> saloon or restaurant?,restaurant
COCO_train2014_000000136962,Is there any meat on these buns?,Is there,Is there any meat on the bun on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000136962.jpg,Is there any meat on <span style='color:red'>the bun on the left?</span>,Is there any meat on <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
