index,question_id_unique,image_id,question,gt_answer,sent,mturk_answer,Answer.mod_type.property,Answer.mod_type.relational,q_type,ans_type,pred_answer,fpred_answer,question_id,answer_gpt4mini,answer_gpt4mini_to_question,answer_gemini_to_sent,ans_gemini_question,ans_llava_modques_sent,ans_Claude_modques_sent,ans_GPT4o_modques_sent,Modified_question,ans_gpt4o_modques,ans_gemini_modques,ans_claude_modques,ans_llava_modques,ans_gemma_modques
14,1459780021,COCO_train2014_000000145978,Which vehicle is closest to you?,truck,Which white vehicle is closest to you ?,truck,FALSE,TRUE,Which,same,truck,truck,145978002,Tug,Truck,Truck,Truck,Truck,Truck,Nine,Which white colored vehicle is closest to you?,Nine,"Truck
",Truck, Truck ,Cart
28,3850500011,COCO_train2014_000000385050,Why are they lying down?,tired,Why are they lying down in the grass?,tired,FALSE,TRUE,Why,same,resting,resting,385050001,Resting,Resting,Resting,Resting,Resting,Resting,Relaxing,Why are the cows lying down on the grass?,Relaxing,"Resting
",Resting, Resting ,Heat
52,1986040011,COCO_train2014_000000198604,Why is the skater wearing a helmet?,safety,Why is the skater wearing a helmet on the head?,safety,TRUE,FALSE,Why,same,safety,safety,198604001,Safety,Safety.,Safety,Safety,Safety,Safety,Safety.,Why is the skater wearing a red helmet?,Safety,"Safety
",Safety, Safety ,Red
53,3072340021,COCO_train2014_000000307234,Which one could be a pirate?,left,Which one of the men in the snow could be a pirate?,left,FALSE,TRUE,Which,same,neither,neither,307234002,Pirate,Pirate.,Pirate,Pirate,Right,Left,Left,Which one is the larger pirate?,Left,Graduate,Right, Neither ,Neither
74,369500011,COCO_train2014_000000036950,Where is the photo taken?,street,Where is the clear photo taken?,street,TRUE,FALSE,Where,same,road,road,36950001,Road.,Road.,Brielle,Brielle,Street,Road,Netherlands,"Where is the photo taken, with the bus and the cloudy sky?",Netherlands,"Brielle
",Netherlands, Street ,Schiphol
89,1737910031,COCO_train2014_000000173791,Which player is wearing the most protective gear?,catcher,Which white dress player is wearing the most protective gear?,catcher,TRUE,FALSE,Which,same,catcher,catcher,173791003,Catcher,Catcher,Catcher,Catcher,Catcher,Catcher,Catcher,Which player next to the umpire is wearing the most protective gear?,Catcher,"Catcher
",Catcher, Catcher ,Batter
92,1649090041,COCO_train2014_000000164909,Where are they hanged?,wall,Where are they fastened to?,wall,TRUE,FALSE,Where,same,van,van,164909004,Bus,Surfers.,Van,Wall,Wall,Roof rack,Van,where are the red and white van hanged?,Restaurant,Wall,Restaurant, Wall ,Wall
133,599960011,COCO_train2014_000000059996,Which item is different from the others?,carrot,"Which orange, long item is different from the others?",carrot,TRUE,FALSE,Which,same,carrot,carrot,59996001,Carrot,Carrot,Carrot,Carrot,Carrot,Carrot,Carrot,Which item on the table is different from the others?,Candle,Carrot,Jar, Carrot ,Carrot
141,2820990001,COCO_train2014_000000282099,Why is the hair on the cow's knees brown?,yes,Why is the hair on the cow's white color knees brown?,yes,TRUE,FALSE,Why,same,genetics,genetics,282099000,Genetics.,Dust,Dirt,Dirt,No,Mud,Dirt,Why is the hair on the white cow's knees brown?,Unknown,Mud,Dirt, Knees ,Color
150,4101020031,COCO_train2014_000000410102,Where is she laying?,floor,Where is she laying?,floor,TRUE,FALSE,Where,same,floor,floor,410102003,Floor.,Floor,Floor,Floor,Floor,Floor,Floor,Wher is the women looking at the mobile laying?,Floor,"Floor
",Floor, Laptop ,Mobile
177,621310011,COCO_train2014_000000062131,Which way is the bird facing?,left,Which way is the bird on the chair facing?,left,FALSE,TRUE,Which,same,left,left,62131001,Left.,Left.,Left,Left,Left,Left,Right,Which way is the bird on the chair facing?,Left,Left,Left, Right ,Forward
180,3808890021,COCO_train2014_000000380889,Where is the laptop?,table,Where is the apple laptop?,table,TRUE,FALSE,Where,same,desk,table,380889002,Desk,Desk,Table,Table,Table.,Podium,Table,Where is the apple laptop?,Table,Table,Podium, On table ,Table
