image_id,question,q_type,Mod_qns_Claude,image_url
COCO_train2014_000000228794,Is this a park?,Is this,Is this a public park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228794.jpg
COCO_train2014_000000230673,Is the man balding?,Is the,Is the man in the gray jacket balding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000230673.jpg
COCO_train2014_000000420236,Is there ice cream in the truck?,Is there,Is there ice cream in the white truck with red and blue stripes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420236.jpg
COCO_train2014_000000231148,Is there traffic?,Is there,Is there vehicle traffic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231148.jpg
COCO_train2014_000000569747,Are the signs English?,Are,Are the green signs English?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000569747.jpg
COCO_train2014_000000260276,Does the child have a hair accessory?,Does,Does the child in the red jacket have a hair accessory?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000260276.jpg
COCO_train2014_000000357728,Are there just a few people?,Are,Are there just a few people at the front?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000357728.jpg
COCO_train2014_000000224503,Does the woman look confused?,Does,Does the woman with red socks look confused?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000224503.jpg
COCO_train2014_000000124240,Are the curtains checkered?,Are,Are the sheer curtains checkered?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000124240.jpg
COCO_train2014_000000099999,Is this a smartphone?,Is this,Is this a Samsung smartphone?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000099999.jpg
COCO_train2014_000000263623,Are there chips?,Are,Are there potato chips?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000263623.jpg
COCO_train2014_000000418373,Does this sign make sense?,Does,Does this yellow sign make sense?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000418373.jpg
