image_id,Original_question,q_type,Mod_qns_GPT4o,image_url
COCO_train2014_000000228794,Is this a park?,Is this,Is this a small park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228794.jpg
COCO_train2014_000000230673,Is the man balding?,Is the,Is the man in the black shirt balding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000230673.jpg
COCO_train2014_000000420236,Is there ice cream in the truck?,Is there,Is there ice cream in the colorful truck?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420236.jpg
COCO_train2014_000000231148,Is there traffic?,Is there,Is there heavy traffic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231148.jpg
COCO_train2014_000000569747,Are the signs English?,Are,Are the graffiti-covered signs English?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000569747.jpg
COCO_train2014_000000260276,Does the child have a hair accessory?,Does,Does the child in the red jacket have a hair accessory?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000260276.jpg
COCO_train2014_000000357728,Are there just a few people?,Are,Are there just a few young people?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000357728.jpg
COCO_train2014_000000224503,Does the woman look confused?,Does,Does the woman on the right look confused?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000224503.jpg
COCO_train2014_000000124240,Are the curtains checkered?,Are,Are the white curtains checkered?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000124240.jpg
COCO_train2014_000000099999,Is this a smartphone?,Is this,Is this a blue smartphone?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000099999.jpg
COCO_train2014_000000263623,Are there chips?,Are,Are there large chips?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000263623.jpg
COCO_train2014_000000418373,Does this sign make sense?,Does,Does this yellow sign make sense?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000418373.jpg
COCO_train2014_000000556524,Are these army planes?,Are,Are these large planes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000556524.jpg
COCO_train2014_000000577087,Is there any chocolate in the food?,Is there,Is there any dark chocolate in the food?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000577087.jpg
COCO_train2014_000000050410,Is the man wearing a shirt?,Is the,Is the shirtless man wearing a shirt?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000050410.jpg
COCO_train2014_000000298287,Is this photo askew?,Is this,Is this colorful photo askew?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000298287.jpg
COCO_train2014_000000170662,Does this transport passengers?,Does,Does this red transport passengers?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000170662.jpg
COCO_train2014_000000307054,Is this a poodle?,Is this,Is this a large poodle?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000307054.jpg
COCO_train2014_000000272033,Is there a cart in this picture?,Is there,Is there a red cart in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000272033.jpg
COCO_train2014_000000232779,Is this lady married?,Is this,Is this young lady married?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000232779.jpg
COCO_train2014_000000552453,Does this house have stairs?,Does,Does this house with a blue couch have stairs?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000552453.jpg
COCO_train2014_000000088860,Is there enough snow for skiing?,Is there,Is there enough fresh snow for skiing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000088860.jpg
COCO_train2014_000000535019,Is there smoke in the picture?,Is there,Is there black smoke in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000535019.jpg
COCO_train2014_000000152529,Is this a saloon or restaurant?,Is this,Is this a bright saloon or restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000152529.jpg
COCO_train2014_000000136962,Is there any meat on these buns?,Is there,Is there any spicy meat on these buns?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000136962.jpg
COCO_train2014_000000081714,Does the man appear dirty?,Does,Does the tired man appear dirty?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000081714.jpg
COCO_train2014_000000023280,Are they drinking wine?,Are,Are they drinking red wine?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000023280.jpg
COCO_train2014_000000267217,Does this meal have any protein?,Does,Does this meal with broccoli have any protein?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000267217.jpg
COCO_train2014_000000564118,Is this room being maintained?,Is this,Is this dirty room being maintained?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000564118.jpg
COCO_train2014_000000084356,Is there a river in the photo?,Is there,Is there a river next to the tree in the photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084356.jpg
COCO_train2014_000000207738,Is there an apple in this picture?,Is there,Is there a red apple in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000207738.jpg
COCO_train2014_000000249348,Is there a plant present?,Is there,Is there a plant on the left present?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000249348.jpg
COCO_train2014_000000075496,Is the bird real or stuffed?,Is the,Is the blue bird real or stuffed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000075496.jpg
COCO_train2014_000000259030,Are the animals grazing?,Are,Are the animals near the tree grazing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000259030.jpg
COCO_train2014_000000272578,Is this baseball player swinging a bat?,Is this,Is this baseball player on the left swinging a bat?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000272578.jpg
COCO_train2014_000000522192,Is this shot in color?,Is this,Is this outdoor shot in color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000522192.jpg
COCO_train2014_000000205461,Is there a pear in this picture?,Is there,Is there a ripe pear in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000205461.jpg
COCO_train2014_000000000584,Are there green onions in this dish?,Are,Are there green onions in this spicy dish?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000000584.jpg
COCO_train2014_000000255804,Is this a selfie?,Is this,Is this a mirror selfie?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000255804.jpg
