image_id,Original_question,q_type,Mod_qns_Llava,image_url,Modified_question,Mod_qns_textinput,GT_answer
COCO_train2014_000000228794,Is this a park?,Is this,Is this a well-maintained park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228794.jpg,Is this a <span style='color:red'>well-maintained</span> park?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> park?,yes
COCO_train2014_000000230673,Is the man balding?,Is the,Is the man sitting at a table in the restaurant balding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000230673.jpg,Is the man <span style='color:red'>sitting at a table in the restaurant</span> balding?,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> balding?,yes
COCO_train2014_000000420236,Is there ice cream in the truck?,Is there,Is there ice cream in the red and white truck?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420236.jpg,Is there ice cream in the <span style='color:red'>red and white</span> truck?,Is there ice cream in the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> truck?,no
COCO_train2014_000000231148,Is there traffic?,Is there,Is there heavy traffic in this narrow alleyway?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231148.jpg,Is there <span style='color:red'>heavy</span> traffic in this narrow alleyway?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> traffic in this narrow alleyway?,no
COCO_train2014_000000099999,Is this a smartphone?,Is this,Is this a smartphone?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000099999.jpg,Is this a smartphone?,Is this a smartphone? <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000050410,Is the man wearing a shirt?,Is the,Is the man wearing a black shirt on the beach?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000050410.jpg,Is the man wearing a <span style='color:red'>black</span> shirt on the beach?,Is the man wearing a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> shirt on the beach?,no
COCO_train2014_000000298287,Is this photo askew?,Is this,Is this photo askew?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000298287.jpg,Is this photo askew?,Is this photo askew?,yes
COCO_train2014_000000307054,Is this a poodle?,Is this,Is this a poodle in the ground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000307054.jpg,Is this a poodle <span style='color:red'>in the background?</span>,Is this a poodle <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000232779,Is this lady married?,Is this,Is this lady in a salon married?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000232779.jpg,Is this lady <span style='color:red'>in a salon</span> married?,Is this lady <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> married?,yes
COCO_train2014_000000088860,Is there enough snow for skiing?,Is there,Is there enough snow for skiing on this hill?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000088860.jpg,Is there enough snow for skiing <span style='color:red'>on this hill?</span>,Is there enough snow for skiing <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000535019,Is there smoke in the picture?,Is there,Is there smoke in this image of a train passing through the countryside?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000535019.jpg,Is there smoke in this image <span style='color:red'> of a train passing through the countryside?</span>,Is there smoke in this image <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000152529,Is this a saloon or restaurant?,Is this,Is this a saloon or restaurant located in a log cabin?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000152529.jpg,Is this a saloon or restaurant <span style='color:red'>located in a log cabin?</span>,Is this a saloon or restaurant <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,restaurant
COCO_train2014_000000136962,Is there any meat on these buns?,Is there,"Is there any meat on these buns, specifically the hot dogs and burger with mustard and ketchup?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000136962.jpg,"Is there any meat on these buns, <span style='color:red'>specifically the hot dogs and burger with mustard and ketchup?</span>","Is there any meat on these buns, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000564118,Is this room being maintained?,Is this,Is this well maintained bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000564118.jpg,Is this <span style='color:red'>poorly</span> maintained <span style='color:red'>bathroom?</span>,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> maintained bathroom?,no
COCO_train2014_000000084356,Is there a river in the photo?,Is there,Is there a river near the sheep on top of the hill?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084356.jpg,Is there a river near the <span style='color:red'>sheep on top of the hill?</span>,Is there a river near the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000207738,Is there an apple in this picture?,Is there,"Is there a juicy, ripe apple in this picture?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000207738.jpg,"Is there <span style='color:red'>a juicy, ripe</span> apple in this picture?",Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> apple in this picture?,yes
COCO_train2014_000000249348,Is there a plant present?,Is there,Is there any green plants present?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000249348.jpg,Is there <span style='color:red'>any green plants</span> present?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> present?,yes
COCO_train2014_000000075496,Is the bird real or stuffed?,Is the,Is the bird real or stuffed sitting on top of the mirror in the car?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000075496.jpg,Is the Is the bird real or stuffed <span style='color:red'>sitting on top of the mirror in the car?</span>,Is the Is the bird real or stuffed <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,real
COCO_train2014_000000272578,Is this baseball player swinging a bat?,Is this,Is this baseball player swinging a bat with intensity?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000272578.jpg,Is this baseball player swinging a bat <span style='color:red'>with intensity?</span>,Is this baseball player swinging a bat <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000205461,Is there a pear in this picture?,Is there,Is there a yellow fruit in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000205461.jpg,Is there a <span style='color:red'>yellow fruit</span> in this picture?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in this picture?,yes
COCO_train2014_000000255804,Is this a selfie?,Is this,"Is this a selfie taken by a person in front of a bathroom mirror, reflecting a white wall in the background?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000255804.jpg,"Is this a selfie <span style='color:red'>taken by a person in front of a bathroom mirror, reflecting a white wall in the background?</span>",Is this a selfie <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000305647,Is the horse cold?,Is the,"Is the horse cold in this snowy environment, possibly after being ridden and carrying a jockey through the snow?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000305647.jpg,"Is the horse cold <span style='color:red'>in this snowy environment, possibly after being ridden and carrying a jockey through the snow?</span>",Is the horse cold <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000542718,Is the woman cold?,Is the,"Is the woman cold, wearing a black t-shit in the background?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000542718.jpg,"Is the woman cold, <span style='color:red'>wearing a coat in the background?</span>","Is the woman cold, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000473103,Is the man looking at the sky?,Is the,Is the man in mid-air while performing a trick on his skateboard?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000473103.jpg,Is the man <span style='color:red'>in mid-air while performing a trick on his skateboard?</span>,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000175608,Is the plane landing?,Is the,Is the plane descending towards the airport?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000175608.jpg,Is the plane <span style='color:red'>descending towards the airport?</span>,Is the plane <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000056886,Is there a teddy bear?,Is there,Is there a black teddy bear? ,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000056886.jpg,Is there a <span style='color:red'>black</span> teddy bear?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> teddy bear?,no
COCO_train2014_000000469405,Is the computer turned on?,Is the,Is the computer on the couch turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000469405.jpg,Is the computer <span style='color:red'>on the couch</span> turned on?,Is the computer <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> turned on?,no
COCO_train2014_000000466828,Is there wildlife?,Is there,Is there a large amount of wildlife?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000466828.jpg,Is there <span style='color:red'>a large amount of</span> wildlife?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> wildlife?,no
COCO_train2014_000000166386,Is this a professional baseball team?,Is this,Is this a professional baseball team playing on a well-maintained baseball field?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000166386.jpg,Is this a professional baseball team <span style='color:red'>playing on a well-maintained baseball field?</span>,Is this a professional baseball team <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000496696,Is there a person guiding these animals?,Is there,Is there a person guiding the cattle along the road?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000496696.jpg,Is there a person guiding <span style='color:red'>the cattle along the road?</span>,Is there a person guiding <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000276871,Is the dog sleeping?,Is the,Is the sleeping dog lying down on a bed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000276871.jpg,Is the dog <span style='color:red'>lying down on a bed</span> sleeping?,Is the dog <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sleeping?,yes
COCO_train2014_000000395214,Is this person going to fall?,Is this,Is this person going to fall while performing a trick on his skateboard?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000395214.jpg,Is this person going to fall <span style='color:red'>while performing a trick on his skateboard?</span>,Is this person going to fall <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000531646,Is the bed empty?,Is the,Is the bed cluttered with items?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000531646.jpg,Is the bed <span style='color:red'>cluttered with items?</span>,Is the bed <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000478067,Is the horse harnessed?,Is the,Is the horse in front of the train car harnessed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000478067.jpg,Is the horse <span style='color:red'>in front of the train car</span> harnessed?,Is the horse <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> harnessed?,yes
COCO_train2014_000000343610,Is this inside of a circus tent?,Is this,Is this inside of a circus tent?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000343610.jpg,Is this inside of a circus tent?,Is this inside of a circus tent?,no
COCO_train2014_000000150920,Is there a vase in the bathroom?,Is there,Is there a vase in the bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000150920.jpg,Is there a vase in the bathroom?,Is there a vase in the bathroom?,no
COCO_train2014_000000523749,Is there a live mouse in the picture?,Is there,Is there a live mouse in this image near to the cat?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000523749.jpg,Is there a live mouse in this image <span style='color:red'>near to the cat?</span>,Is there a live mouse in this image <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> ,no
COCO_train2014_000000460408,Is this an adult's lunch?,Is this,Is this an adult's colorful and nutritious lunch?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000460408.jpg,Is this an <span style='color:red'>adult's colorful and nutritious</span> lunch?,Is this an <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> lunch?,no
COCO_train2014_000000025142,Is this an Arab country?,Is this,"Is this an Arab country, located in a South Asian region?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025142.jpg,"Is this an Arab country, <span style='color:red'>located in a South Asian region?</span>","Is this an Arab country, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
